id,original_title,genres,cast,director,screenplay,keywords
58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']","['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley', 'StellanSkarsgård', 'BillNighy']",['Gore Verbinski'],['Terry Rossio'],"['witch', 'fortuneteller', 'bondage', 'exoticisland', 'monster', 'captain', 'cardgame', 'eastindiatradingcompany', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']"
57201,The Lone Ranger,"['Action', 'Adventure', 'Western']","['JohnnyDepp', 'ArmieHammer', 'WilliamFichtner', 'HelenaBonhamCarter', 'JamesBadgeDale']",['Gore Verbinski'],['Justin Haythe'],"['texas', 'horse', 'survivor', 'texasranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'loneranger', 'comanche', 'theloneranger', 'tonto']"
49521,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['HenryCavill', 'AmyAdams', 'MichaelShannon', 'KevinCostner', 'DianeLane']",['Zack Snyder'],['David S. Goyer'],"['savingtheworld', 'dccomics', 'superhero', 'basedoncomicbook', 'superhuman', 'alieninvasion', 'reboot', 'superpowers', 'dcextendeduniverse']"
2454,The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']","['BenBarnes', 'WilliamMoseley', 'AnnaPopplewell', 'SkandarKeynes', 'GeorgieHenley']",['Andrew Adamson'],['Stephen McFeely'],"['basedonnovel', 'fictionalplace', 'brothersisterrelationship', 'lion', 'humanbeing', 'wretch', 'leapintime', 'matteroflifeanddeath', 'faith', 'uncle', 'narnia', 'fantasyworld']"
24428,The Avengers,"['ScienceFiction', 'Action', 'Adventure']","['RobertDowneyJr.', 'ChrisEvans', 'MarkRuffalo', 'ChrisHemsworth', 'ScarlettJohansson']",['Joss Whedon'],['Joss Whedon'],"['newyork', 'shield', 'marvelcomic', 'superhero', 'basedoncomicbook', 'alieninvasion', 'superheroteam', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse']"
1865,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']","['JohnnyDepp', 'PenélopeCruz', 'IanMcShane', 'KevinMcNally', 'GeoffreyRush']",['Rob Marshall'],['Terry Rossio'],"['sea', 'captain', 'mutiny', 'sword', 'primeminister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']"
41154,Men in Black 3,"['Action', 'Comedy', 'ScienceFiction']","['WillSmith', 'TommyLeeJones', 'JoshBrolin', 'MichaelStuhlbarg', 'EmmaThompson']",['Barry Sonnenfeld'],['Etan Cohen'],"['timetravel', 'timemachine', 'alien', 'fictionalgovernmentagency', 'seeingthefuture', 'changinghistory']"
1930,The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']","['AndrewGarfield', 'EmmaStone', 'RhysIfans', 'DenisLeary', 'CampbellScott']",['Marc Webb'],['James Vanderbilt'],"['lossoffather', 'vigilante', 'serum', 'marvelcomic', 'scientificexperiment', 'spiderbite', 'maskedvigilante', 'reboot', 'superpowers', 'geneticengineering', 'socialoutcast', 'duringcreditsstinger']"
20662,Robin Hood,"['Action', 'Adventure']","['RussellCrowe', 'CateBlanchett', 'MaxvonSydow', 'WilliamHurt', 'MarkStrong']",['Ridley Scott'],['Brian Helgeland'],"['robinhood', 'archer', 'knight', 'sherwoodforest', 'bowandarrow', 'middleages', 'medieval', 'kingofengland']"
57158,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']","['MartinFreeman', 'IanMcKellen', 'RichardArmitage', 'KenStott', 'GrahamMcTavish']",['Peter Jackson'],['Guillermo del Toro'],"['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'swordandsorcery']"
2268,The Golden Compass,"['Adventure', 'Fantasy']","['DakotaBlueRichards', 'NicoleKidman', 'DanielCraig', 'SamElliott', 'EvaGreen']",['Chris Weitz'],['Chris Weitz'],"['england', 'compass', 'experiment', 'lordship', 'uncle', 'polarbear', 'orphan', 'animal', 'basedonyoungadultnovel']"
597,Titanic,"['Drama', 'Romance', 'Thriller']","['KateWinslet', 'LeonardoDiCaprio', 'FrancesFisher', 'BillyZane', 'KathyBates']",['James Cameron'],['James Cameron'],"['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'oceanliner', 'epic', 'richwoman-poorman', 'love', 'disaster', 'tragiclove', 'classdifferences', 'imax', 'starcrossedlovers', 'steerage', 'salvage', 'richsnob', '3d', '1910s']"
271110,Captain America: Civil War,"['Adventure', 'Action', 'ScienceFiction']","['ChrisEvans', 'RobertDowneyJr.', 'ScarlettJohansson', 'SebastianStan', 'AnthonyMackie']",['Joe Russo'],['Stephen McFeely'],"['civilwar', 'war', 'marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d']"
44833,Battleship,"['Thriller', 'Action', 'Adventure', 'ScienceFiction']","['TaylorKitsch', 'AlexanderSkarsgård', 'Rihanna', 'BrooklynDecker', 'TadanobuAsano']",['Peter Berg'],['Jon Hoeber'],"['fight', 'u.s.navy', 'mindreading', 'hongkong', 'soccer', 'scientist', 'fictionalwar', 'naval', 'armada', 'battleship', 'navalcombat', 'jdsmyoko', 'lostcommunication', 'taser', 'buoy', 'communicationsexpert', 'jointchiefsofstaff', 'crashlanding', 'jetfighterpilot', 'navylieutenant', 'permissiontomarry', 'ussjohnpauljones', 'basedonboardgame', 'aftercreditsstinger', 'mightymo', 'ussmissouri']"
135397,Jurassic World,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['ChrisPratt', 'BryceDallasHoward', 'IrrfanKhan', '""VincentDOnofrio""', 'NickRobinson']",['Colin Trevorrow'],['Derek Connolly'],"['monster', 'dna', 'tyrannosaurusrex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusementpark', 'animalattack', 'themepark', 'jurassicpark', '3d', 'animalhorror']"
558,Spider-Man 2,"['Action', 'Adventure', 'Fantasy']","['TobeyMaguire', 'KirstenDunst', 'JamesFranco', 'AlfredMolina', 'RosemaryHarris']",['Sam Raimi'],['Alvin Sargent'],"['dualidentity', '""loveofoneslife""', 'pizzaboy', 'marvelcomic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'supervillain']"
68721,Iron Man 3,"['Action', 'Adventure', 'ScienceFiction']","['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle', 'GuyPearce', 'RebeccaHall']",['Shane Black'],['Drew Pearce'],"['terrorist', 'waronterror', 'tennessee', 'malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'tonystark', 'ironman', 'aftercreditsstinger', 'marvelcinematicuniverse', 'mandarin', '3d', 'warmachine', 'ironpatriot', 'extremis']"
12155,Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']","['MiaWasikowska', 'JohnnyDepp', 'AnneHathaway', 'HelenaBonhamCarter', 'CrispinGlover']",['Tim Burton'],['Linda Woolverton'],"['basedonnovel', 'fictionalplace', 'queen', 'fantasy', 'aliceinwonderland', 'fantasyworld', '3d']"
36668,X-Men: The Last Stand,"['Adventure', 'Action', 'ScienceFiction', 'Thriller']","['HughJackman', 'HalleBerry', 'IanMcKellen', 'PatrickStewart', 'FamkeJanssen']",['Brett Ratner'],['Zak Penn'],"['mutant', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']"
62211,Monsters University,"['Animation', 'Family']","['BillyCrystal', 'JohnGoodman', 'SteveBuscemi', 'HelenMirren', 'NoahJohnston']",['Dan Scanlon'],['Dan Scanlon'],"['monster', 'dormitory', 'games', 'animation', 'bestfriend', 'university', 'scary', 'aftercreditsstinger']"
8373,Transformers: Revenge of the Fallen,"['ScienceFiction', 'Action', 'Adventure']","['ShiaLaBeouf', 'MeganFox', 'JoshDuhamel', 'RainnWilson', 'TyreseGibson']",['Michael Bay'],['Ehren Kruger'],"['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']"
91314,Transformers: Age of Extinction,"['ScienceFiction', 'Action', 'Adventure']","['MarkWahlberg', 'StanleyTucci', 'KelseyGrammer', 'NicolaPeltz', 'JackReynor']",['Michael Bay'],['Ehren Kruger'],"['sequel', 'alien', 'transformers', 'giantrobot', 'robot', 'imax', 'transformingrobot']"
68728,Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']","['JamesFranco', 'MilaKunis', 'RachelWeisz', 'MichelleWilliams', 'ZachBraff']",['Sam Raimi'],['David Lindsay-Abaire'],"['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magictrick', 'wizard', '3d']"
102382,The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']","['AndrewGarfield', 'EmmaStone', 'JamieFoxx', 'DaneDeHaan', 'CampbellScott']",['Marc Webb'],['Jeff Pinkner'],"['obsession', 'marvelcomic', 'sequel', 'basedoncomicbook', 'electrocution', 'medicalexperiment', 'electricity', 'superpowers']"
20526,TRON: Legacy,"['Adventure', 'Action', 'ScienceFiction']","['GarrettHedlund', 'JeffBridges', 'OliviaWilde', 'BruceBoxleitner', 'YayaDaCosta']",['Joseph Kosinski'],['Adam Horowitz'],"['artificialintelligence', 'secretidentity', 'computerprogram', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neonlight', 'autocracy']"
49013,Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']","['OwenWilson', 'LarrytheCableGuy', 'MichaelCaine', 'EmilyMortimer', 'JohnTurturro']",['Brad Lewis'],['Ben Queen'],"['carrace', 'sequel', 'comedy', 'anthropomorphism', 'bestfriend', 'duringcreditsstinger']"
44912,Green Lantern,"['Adventure', 'Action', 'Thriller', 'ScienceFiction']","['RyanReynolds', 'BlakeLively', 'PeterSarsgaard', 'TimRobbins', 'MarkStrong']",['Martin Campbell'],['Michael Green'],"['dccomics', 'transformation', 'superhero', 'alien', 'alieninfection', 'magicalobject', 'protector', 'superpowers', 'origin', '3d']"
10193,Toy Story 3,"['Animation', 'Family', 'Comedy']","['TomHanks', 'TimAllen', 'NedBeatty', 'JoanCusack', 'MichaelKeaton']",['Lee Unkrich'],['Michael Arndt'],"['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'daycare', 'teddybear', 'duringcreditsstinger', 'toycomestolife', 'personification', 'inanimateobjectscomingtolife', 'toystory']"
72190,World War Z,"['Action', 'Drama', 'Horror', 'ScienceFiction', 'Thriller']","['BradPitt', 'MireilleEnos', 'AbigailHargrove', 'SterlingJerins', 'JamesBadgeDale']",['Marc Forster'],['Damon Lindelof'],"['dystopia', 'apocalypse', 'zombie', 'nuclearweapons', 'multipleperspectives', 'zombieapocalypse']"
127585,X-Men: Days of Future Past,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['HughJackman', 'JamesMcAvoy', 'MichaelFassbender', 'JenniferLawrence', 'HalleBerry']",['Bryan Singer'],['Simon Kinberg'],"['1970s', 'mutant', 'timetravel', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'storm', 'beast', 'aftercreditsstinger', 'changingthepastorfuture']"
54138,Star Trek Into Darkness,"['Action', 'Adventure', 'ScienceFiction']","['ChrisPine', 'ZacharyQuinto', 'ZoeSaldana', 'KarlUrban', 'SimonPegg']",['J.J. Abrams'],['Damon Lindelof'],"['spacecraft', 'friendship', 'sequel', 'futuristic', 'space', 'alien', 'imax', 'spaceopera', 'terroristbombing', '3d']"
81005,Jack the Giant Slayer,"['Action', 'Family', 'Fantasy']","['NicholasHoult', 'EleanorTomlinson', 'EwanMcGregor', 'StanleyTucci', 'IanMcShane']",['Bryan Singer'],['Darren Lemke '],"['basedonfairytale', 'giant']"
64682,The Great Gatsby,"['Drama', 'Romance']","['LeonardoDiCaprio', 'TobeyMaguire', 'CareyMulligan', 'JoelEdgerton', 'ElizabethDebicki']",['Baz Luhrmann'],['Craig Pearce'],"['basedonnovel', 'infidelity', 'obsession', 'hope', '3d']"
9543,Prince of Persia: The Sands of Time,"['Adventure', 'Fantasy', 'Action', 'Romance']","['JakeGyllenhaal', 'GemmaArterton', 'BenKingsley', 'AlfredMolina', 'SteveToussaint']",['Mike Newell'],['Carlo Bernard'],"['persia', 'sandstorm', 'brotheragainstbrother', 'armageddon', 'regent', 'basedonvideogame']"
68726,Pacific Rim,"['Action', 'ScienceFiction', 'Adventure']","['IdrisElba', 'CharlieHunnam', 'CharlieDay', 'RonPerlman', 'BurnGorman']",['Guillermo del Toro'],['Guillermo del Toro'],"['dystopia', 'giantrobot', 'giantmonster', 'apocalypse', 'imax', 'duringcreditsstinger', '3d']"
38356,Transformers: Dark of the Moon,"['Action', 'ScienceFiction', 'Adventure']","['ShiaLaBeouf', 'JohnMalkovich', 'KenJeong', 'FrancesMcDormand', 'JoshDuhamel']",['Michael Bay'],['Ehren Kruger'],"['moon', 'spacecraft', 'traitor', 'bodyguard', 'alienplanet', 'basedoncartoon', 'transformers', 'giantrobot', 'sabotage', 'worddomination', 'commando', 'duringcreditsstinger']"
217,Indiana Jones and the Kingdom of the Crystal Skull,"['Adventure', 'Action']","['HarrisonFord', 'CateBlanchett', 'ShiaLaBeouf', 'RayWinstone', 'KarenAllen']",['Steven Spielberg'],['David Koepp'],"['savingtheworld', 'riddle', 'whip', 'treasure', 'mexicocity', 'leatherjacket', 'machinegun', 'alienphenomenons', 'mayacivilization', 'peru', 'treasurehunt', 'nuclearexplosion', 'refrigerator', 'archaeologist', 'indianajones', 'archeology\\xa0']"
105864,The Good Dinosaur,"['Adventure', 'Animation', 'Family']","['RaymondOchoa', 'JackBright', 'JeffreyWright', 'FrancesMcDormand', 'MaleahNipay-Padilla']",['Peter Sohn'],['Meg LeFauve'],"['tyrannosaurusrex', 'friends', 'alternatehistory', 'dinosaur', 'fear', 'storm', 'nature', 'human', 'journey']"
62177,Brave,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","['KellyMacdonald', 'JulieWalters', 'BillyConnolly', 'EmmaThompson', 'KevinMcKidd']",['Steve Purcell'],['Steve Purcell'],"['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'bear', 'scot', 'rebelliousdaughter', 'turnsintoanimal', 'archery', 'ruins', 'aftercreditsstinger', 'peaceoffering', 'womandirector', 'courage', '3d']"
188927,Star Trek Beyond,"['Action', 'Adventure', 'ScienceFiction']","['ChrisPine', 'ZacharyQuinto', 'KarlUrban', 'SimonPegg', 'ZoeSaldana']",['Justin Lin'],['Doug Jung'],"['sequel', 'stranded', 'hatred', 'spaceopera']"
10681,WALL·E,"['Animation', 'Family']","['BenBurtt', 'ElissaKnight', 'JeffGarlin', 'FredWillard', 'JohnRatzenberger']",['Andrew Stanton'],['Jim Reardon'],['romanticcomedy']
5174,Rush Hour 3,"['Action', 'Comedy', 'Crime', 'Thriller']","['ChrisTucker', 'JackieChan', 'HiroyukiSanada', 'MaxvonSydow', 'YvanAttal']",['Brett Ratner'],['Jeff Nathanson'],['ambassador']
17979,A Christmas Carol,"['Animation', 'Drama']","['GaryOldman', 'JimCarrey', 'SteveValentine', 'DarylSabara', 'SageRyan']",['Robert Zemeckis'],['Robert Zemeckis'],"['holiday', 'basedonnovel', 'victorianengland', 'money', 'christmaseve', 'scrooge', 'christmascarol', 'ghost', 'lesson', 'charlesdickens', 'christmas']"
258489,The Legend of Tarzan,"['Action', 'Adventure']","['AlexanderSkarsgård', 'MargotRobbie', 'ChristophWaltz', 'SamuelL.Jackson', 'DjimonHounsou']",['David Yates'],['Adam Cozad'],"['africa', 'feralchild', 'tarzan', 'jungle', 'animalattack']"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Adventure', 'Family', 'Fantasy']","['WilliamMoseley', 'AnnaPopplewell', 'SkandarKeynes', 'GeorgieHenley', 'LiamNeeson']",['Andrew Adamson'],['Stephen McFeely'],"['savingtheworld', 'witch', 'basedonnovel', 'brothersisterrelationship', 'selfsacrifice', 'winter', 'cupboard', 'beaver', 'lion', 'fairy-talefigure', 'battle', 'narnia', 'fantasyworld', 'duringcreditsstinger']"
155,The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']","['ChristianBale', 'HeathLedger', 'AaronEckhart', 'MichaelCaine', 'MaggieGyllenhaal']",['Christopher Nolan'],['Jonathan Nolan'],"['dccomics', 'crimefighter', 'secretidentity', 'scarecrow', 'sadism', 'chaos', 'gothamcity', 'vigilante', 'joker', 'superhero', 'basedoncomicbook', 'tragichero', 'organizedcrime', 'criminalmastermind', 'districtattorney', 'imax', 'supervillain', 'superpowers', 'batman']"
14160,Up,"['Animation', 'Comedy', 'Family', 'Adventure']","['EdAsner', 'ChristopherPlummer', 'JordanNagai', 'BobPeterson', 'DelroyLindo']",['Pete Docter'],['Pete Docter'],"['agedifference', 'centralandsouthamerica', 'balloon', 'animation', 'floatingintheair', 'duringcreditsstinger', 'exploring']"
15512,Monsters vs Aliens,"['Animation', 'Family', 'Adventure', 'ScienceFiction']","['SethRogen', 'ReeseWitherspoon', 'HughLaurie', 'PaulRudd', 'KieferSutherland']",['Rob Letterman'],['Rob Letterman'],"['alien', 'giantrobot', 'duringcreditsstinger']"
1726,Iron Man,"['Action', 'ScienceFiction', 'Adventure']","['RobertDowneyJr.', 'TerrenceHoward', 'JeffBridges', 'ShaunToub', 'GwynethPaltrow']",['Jon Favreau'],['Matt Holloway'],"['middleeast', 'armsdealer', 'malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'tonystark', 'ironman', 'aftercreditsstinger', 'marvelcinematicuniverse', 'counterterrorism', 'agentcoulson']"
44826,Hugo,"['Adventure', 'Drama', 'Family']","['BenKingsley', 'SachaBaronCohen', 'AsaButterfield', 'ChloëGraceMoretz', 'RayWinstone']",['Martin Scorsese'],['John Logan'],"['library', 'clock', 'filmdirector', 'key', 'toy', 'boy', 'love', 'orphan', 'robot', 'automaton', 'hiding', 'filmmaking', 'legbrace', 'doberman', '3d']"
8487,Wild Wild West,"['Action', 'Adventure', 'Comedy', 'ScienceFiction', 'Western']","['WillSmith', 'KevinKline', 'KennethBranagh', 'SalmaHayek', 'M.EmmetWalsh']",['Barry Sonnenfeld'],['S. S. Wilson'],"['steampunk', 'basedontvseries', 'steamlocomotive', 'drag']"
1735,The Mummy: Tomb of the Dragon Emperor,"['Adventure', 'Action', 'Fantasy']","['BrendanFraser', 'JetLi', 'JohnHannah', 'MariaBello', 'LukeFord']",['Rob Cohen'],['Alfred Gough'],['']
2698,Evan Almighty,"['Fantasy', 'Comedy', 'Family']","['SteveCarell', 'LaurenGraham', 'JohnGoodman', 'JimmyBennett', 'JohnMichaelHiggins']",['Tom Shadyac'],['Steve Oedekerk'],"['fathersonrelationship', 'dailylife', 'marriedcouple', 'support', 'father', 'marriage', 'faith', 'baustelle', 'rescue', 'animal', 'nature', 'duringcreditsstinger', '""noahsark""']"
137113,Edge of Tomorrow,"['Action', 'ScienceFiction']","['TomCruise', 'EmilyBlunt', 'BrendanGleeson', 'BillPaxton', 'JonasArmstrong']",['Doug Liman'],['John-Henry Butterworth'],"['dejavu', 'timewarp', 'restart', 'dystopia', 'war', 'alien', 'militaryofficer', 'soldier', 'alieninvasion', 'exoskeleton']"
14869,G.I. Joe: The Rise of Cobra,"['Adventure', 'Action', 'Thriller', 'ScienceFiction']","['DennisQuaid', 'ChanningTatum', 'MarlonWayans', 'SiennaMiller', 'JosephGordon-Levitt']",['Stephen Sommers'],['Paul Lovett'],"['terrorist', 'secret', 'hostage', 'technology', 'warhead', 'government', 'president', 'revenge', 'murder', 'attack', 'explosion', 'scientist', 'lasers', 'evil', 'cobra']"
150540,Inside Out,"['Drama', 'Comedy', 'Animation', 'Family']","['AmyPoehler', 'PhyllisSmith', 'RichardKind', 'BillHader', 'LewisBlack']",['Pete Docter'],['Meg LeFauve'],"['dream', 'cartoon', 'imaginaryfriend', 'animation', 'family', 'moving', 'kids', 'unicorn', 'duringcreditsstinger', '3d', 'emotions']"
278927,The Jungle Book,"['Family', 'Adventure', 'Drama', 'Fantasy']","['NeelSethi', 'BillMurray', 'BenKingsley', 'IdrisElba', 'ScarlettJohansson']",['Jon Favreau'],['Justin Marks'],"['basedonnovel', 'snake', 'wolf', 'elephant', 'tiger', 'feralchild', 'panther', 'remake', 'bear', 'jungle', 'talkinganimal', 'orphan', 'animal', 'talkingtoanimals']"
10138,Iron Man 2,"['Adventure', 'Action', 'ScienceFiction']","['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle', 'ScarlettJohansson', 'MickeyRourke']",['Jon Favreau'],['Justin Theroux'],"['malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'revenge', 'aftercreditsstinger', 'marvelcinematicuniverse']"
58595,Snow White and the Huntsman,"['Adventure', 'Fantasy', 'Drama']","['KristenStewart', 'CharlizeTheron', 'ChrisHemsworth', 'SamClaflin', 'IanMcShane']",['Rupert Sanders'],['Evan Daugherty'],"['queen', 'magic', 'fairytale', 'immortality', 'forest', 'deception', 'woman', 'eternalyouth', 'snowwhite', 'evilqueen', 'evilstepmother', 'imprisoned', 'sorceress']"
102651,Maleficent,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']","['AngelinaJolie', 'ElleFanning', 'SharltoCopley', 'SamRiley', 'JunoTemple']",['Robert Stromberg'],['Linda Woolverton'],"['fairytale', 'villain', 'sleepingbeauty', 'darkfantasy', 'basedonfairytale', 'adaptation', 'retelling', 'literaryadaptation', '3d']"
64686,47 Ronin,"['Drama', 'Action', 'Adventure', 'Fantasy']","['KeanuReeves', 'HiroyukiSanada', 'KouShibasaki', 'TadanobuAsano', 'MinTanaka']",['Carl Rinsch'],['Hossein Amini'],"['japan', 'suicide', 'samurai', 'basedontruestory', 'samuraisword', 'ronin', 'shogun', 'halfbreed', '3d']"
100402,Captain America: The Winter Soldier,"['Action', 'Adventure', 'ScienceFiction']","['ChrisEvans', 'SamuelL.Jackson', 'ScarlettJohansson', 'RobertRedford', 'SebastianStan']",['Joe Russo'],['Stephen McFeely'],"['washingtond.c.', 'future', 'shield', 'marvelcomic', 'superhero', 'basedoncomicbook', 'captainamerica', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d', 'politicalthriller']"
158852,Tomorrowland,"['Adventure', 'Family', 'Mystery', 'ScienceFiction']","['BrittRobertson', 'GeorgeClooney', 'RaffeyCassidy', 'ThomasRobinson', 'HughLaurie']",['Brad Bird'],['Damon Lindelof'],"['inventor', 'apocalypse', 'destiny', 'imax', 'dreamer', 'futuristiccar', 'futuristiccity']"
177572,Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['ScottAdsit', 'RyanPotter', 'DanielHenney', 'T.J.Miller', 'JamieChung']",['Don Hall'],['Jordan Roberts'],"['brotherbrotherrelationship', 'hero', 'talent', 'revenge', 'bestfriend', 'anotherdimension', 'robot', 'boygenius', 'hate', 'aftercreditsstinger', 'moraldilemma', '3d', 'teensuperheroes', 'deadbrother']"
